file_name,eid,class_mark,sort_class_mark,orientation
137645,MS-DAR-00209-00015-000-00004.jpg,DAR 209.15: 2v,DAR 00209.00015: 00002V,v
137644,MS-DAR-00209-00015-000-00003.jpg,DAR 209.15: 2r,DAR 00209.00015: 00002R,r
137643,MS-DAR-00209-00015-000-00002.jpg,DAR 209.15: 1r,DAR 00209.00015: 00001R,r
138413,MS-DAR-00209-00015-000-00001.jpg,DAR 209.15: 1v,DAR 00209.00015: 00001V,v
141024,MS-DAR-00209-00014-000-00428.jpg,DAR 209.14: 190v,DAR 00209.00014: 00190V,v
33981,MS-DAR-00209-00014-000-00427.jpg,DAR 209.14: 190r,DAR 00209.00014: 00190R,r
89084,MS-DAR-00209-00014-000-00426.jpg,DAR 209.14: 189v,DAR 00209.00014: 00189v,v
89085,MS-DAR-00209-00014-000-00425.jpg,DAR 209.14: 189r,DAR 00209.00014: 00189r,r
89082,MS-DAR-00209-00014-000-00424.jpg,DAR 209.14: 188v,DAR 00209.00014: 00188v,v
89081,MS-DAR-00209-00014-000-00423.jpg,DAR 209.14: 188r,DAR 00209.00014: 00188r,r
89079,MS-DAR-00209-00014-000-00422.jpg,DAR 209.14: 187bv,DAR 00209.00014: 00187bv,v
140016,MS-DAR-00209-00014-000-00421.jpg,DAR 209.14: 187br,DAR 00209.00014: 00187br,r
140015,MS-DAR-00209-00014-000-00420.jpg,DAR 209.14: 187av,DAR 00209.00014: 00187av,v
89077,MS-DAR-00209-00014-000-00419.jpg,DAR 209.14: 187ar,DAR 00209.00014: 00187ar,r
89074,MS-DAR-00209-00014-000-00418.jpg,DAR 209.14: 186bv,DAR 00209.00014: 00186bv,v
89073,MS-DAR-00209-00014-000-00417.jpg,DAR 209.14: 186br,DAR 00209.00014: 00186br,r
140154,MS-DAR-00209-00014-000-00416.jpg,DAR 209.14: 186av,DAR 00209.00014: 00186AV,v
89072,MS-DAR-00209-00014-000-00415.jpg,DAR 209.14: 186ar,DAR 00209.00014: 00186AR,r
140153,MS-DAR-00209-00014-000-00414.jpg,DAR 209.14: 185v,DAR 00209.00014: 00185V,v
88941,MS-DAR-00209-00014-000-00413.jpg,DAR 209.14: 185r,DAR 00209.00014: 00185R,r
140152,MS-DAR-00209-00014-000-00412.jpg,DAR 209.14: 184cv,DAR 00209.00014: 00184CV,v
